key,avg dps,crit,durability,level,max,min,price,skill,speed,stock,str,tier,tot,weight
<!MissingKey:45:26.62>,26.62,1.35,128,10,55,34,24,80,0.55,2,125,4,205,17
<!MissingKey:46:3.59>,3.59,1.25,28,1,14,6,4,35,0.35,8,55,1,90,9
<!MissingKey:47:2.92>,2.92,1.3,38,1,8,3,4,55,0.5,8,40,1,95,5
<!MissingKey:48:9.46>,9.46,1.15,102,7,21,16,12,70,0.5,4,70,3,140,8
<!MissingKey:49:26.22>,26.22,1.35,148,10,39,34,24,80,0.65,2,110,4,190,9
<!MissingKey:50:5.81>,5.81,1.3,52,1,10,8,8,40,0.6,8,55,1,95,6
<!MissingKey:51:9.24>,9.24,1.25,94,7,18,14,12,50,0.55,4,90,3,140,8
<!MissingKey:52:20.3>,20.3,1.5,70,7,63,19,18,50,0.45,4,110,,160,26
<!MissingKey:53:2.57>,2.57,1.2,44,1,5,4,4,35,0.55,8,50,1,85,3
<!MissingKey:54:12.81>,12.81,1.45,52,4,47,13,12,40,0.4,6,90,,130,22
<!MissingKey:55:19.03>,19.03,1.3,118,7,34,25,18,60,0.6,4,100,3,160,14
<!MissingKey:56:6.03>,6.03,1.1,62,4,17,13,8,40,0.4,6,70,2,110,10
<!MissingKey:57:2.83>,2.83,1.2,40,1,7,4,4,30,0.5,8,60,1,90,6
<!MissingKey:58:5.6>,5.6,1.25,58,4,16,8,8,40,0.45,6,75,2,115,8
<!MissingKey:59:6.16>,6.16,1.35,46,4,23,11,8,40,0.35,6,70,2,110,11
